pair,pool,volume,vol_rank,Volume Share,tvl,tvl_rank,TVL Share,Fee Earned,fee_rank,Fee Share,Fee/TVL,apy
USDC-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640"" target=""_blank"">🔗🦄 0x88e6...5640</a>",3.7560872727780347e+11,🥇 1.,0.4424838113218815,1.945890155026495e+08,🥈 2.,0.14975987159496557,1.8780436363890174e+08,🥈 2.,0.1415643420164572,96.51334282861646,0.46844907091017296
USDC-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8"" target=""_blank"">🔗🦄 0x8ad5...e6d8</a>",7.048381688754385e+10,🥈 2.,0.08303307582586368,9.85439992133191e+07,5.,0.0758415711725522,2.1145145066263157e+08,🥇 1.,0.15938919043987693,214.575674166522,1.0414909716859113
WETH-USDT 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x11b815efb8f581194ae79006d24e0d814b7697f6"" target=""_blank"">🔗🦄 0x11b8...97f6</a>",6.255064850419198e+10,🥉 3.,0.07368745010634321,2.57557504710338e+07,9.,0.01982217687576243,3.127532425209599e+07,7.,0.023574908555437903,121.43045215191759,0.5893898275990681
WBTC-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x4585fe77225b41b697c938b018e2ac67ac5a20c0"" target=""_blank"">🔗🦄 0x4585...20c0</a>",4.923947545611441e+10,4.,0.05800629534147484,1.06340971075857e+08,4.,0.08184228761560003,2.4619737728057206e+07,8.,0.018558019124579203,23.151695418029448,0.11237192589868017
WETH-USDT 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x4e68ccd3e89f51c3074ca5072bbac773960dfa36"" target=""_blank"">🔗🦄 0x4e68...fa36</a>",3.0160725146118916e+10,5.,0.03553067765919045,3.12550108608582e+07,8.,0.024054525385877427,9.048217543835674e+07,🥉 3.,0.06820421731401856,289.4965413423385,1.405136138164276
DAI-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x60594a405d53811d3bc4766596efd80fd545a270"" target=""_blank"">🔗🦄 0x6059...a270</a>",2.609225821257807e+10,6.,0.030737842391391323,3.17932325241861e+06,32.,0.0024468752298847842,1.3046129106289037e+07,16.,0.00983399238978598,410.34295887857394,1.9916912232803123
WBTC-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xcbcdf9626bc03e24f779434178a73a0b4bad62ed"" target=""_blank"">🔗🦄 0xcbcd...62ed</a>",2.1883628429197704e+10,7.,0.02577988904326373,2.42927315528077e+08,🥇 1.,0.1869620619972721,6.565088528759311e+07,4.,0.04948673288766391,27.024908724192166,0.13117143197247527
DAI-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x5777d92f208679db4b9778590fa3cab3ac9e2168"" target=""_blank"">🔗🦄 0x5777...2168</a>",1.6157694138758017e+10,8.,0.019034483401135213,1.42349387468374e+08,🥉 3.,0.10955513564739437,1.6157694138758017e+06,94.,0.0012179447244657336,1.1350729656176286,0.005509330218755777
WBTC-USDC 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x99ac8ca7087fa4a2a1fb6357269965a2014abc35"" target=""_blank"">🔗🦄 0x99ac...bc35</a>",1.2580276636668295e+10,9.,0.014820126236203043,4.006181064104927e+07,7.,0.030832427010165298,3.7740829910004884e+07,5.,0.02844851764806477,94.20650067007657,0.45725229713534504
DAI-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8"" target=""_blank"">🔗🦄 0xc2e9...25f8</a>",1.2516253064947098e+10,10.,0.01474470361693924,6.72199168076243e+06,23.,0.00517338868472615,3.7548759194841295e+07,6.,0.028303737389044573,558.5957403413863,2.711269218412314
