current_tvl_usd,during_last_ndays,fee_apr,fee_tier,fees_usd,lp_addr,num_trades,start_tvl_usd,token_pair,tvl_change_usd,volume_to_tvl,volume_usd
,3.2743,0.4063425423970779,1.00%,0.07678327767922805,0xbbf578ec19d1068528080809f075c704b3b4ee4c,7,21.037131422040996,OM-WETH,,0.36498929506510935,7.678327767922805
411193.6685616679,7.7465,0.1501426499383285,0.30%,1241.8918504995927,0x2aceda63b5e958c45bd27d916ba701bc1dc08f7a,666,389220.9250239178,AAVE-WETH,21972.743537750095,1.0067371698950358,413963.9501665309
126063.62063694609,7.7681,0.13941329941692948,0.30%,413.78917086102626,0xfc99d1c02d27de07dfe0dcd878cde86ee59c5f6b,435,139246.6547498336,CRV-WETH,-13183.034112887515,1.0941278929118619,137929.72362034212
18441803.481249936,7.7715,0.12691365020322865,0.05%,50303.30631997954,0x45dda9cb7c25131df268515131f647d726f50608,57920,18597236.066993132,USDC-WETH,-155432.5857431963,5.455356507960065,100606612.63995743
1181942.9772544913,7.7556,0.11472799809946199,0.30%,2745.7503093527166,0x4ccd010148379ea531d6c587cfdd60180196f9b1,891,1124802.08815407,USDT-WETH,57140.88910042122,0.7743606254538484,915250.1031175717
4203211.857849504,7.7708,0.10560359151816301,0.05%,10369.34033472233,0x86f1d8390222a3691c28938ec7404a1661e618e0,31844,4608063.869987881,WETH-WMATIC,-404852.01213837694,4.934007937457487,20738680.66944488
,7.3535,0.09250387961092121,1.00%,377.94928117447796,0xde4b2e9c32324a7ed9bdd72886e0371648fa83e4,53,202654.24799257048,UBT-WETH,,0.18649956017123995,37794.92811744778
138093.86708136115,7.4972,0.09238408933834763,1.00%,265.40078399149274,0xd64fb39a5681908ad488b487d65f5d8479cb235c,438,139764.42775827434,GLM-WETH,-1670.5606769131846,0.19218868266982916,26540.078399149286
337016.9857416114,7.6965,0.08932947147542225,0.30%,622.3142593139125,0x357faf5843c7fd7fb4e34fbeabdac16eabe8a5bc,1960,330035.76938839006,UNI-WETH,6981.216353221331,0.6155122596610358,207438.0864379703
362079.17382274213,7.7403,0.07307944284188128,1.00%,566.1062724689422,0x9f2b55f290fb1dd0c80d685284dbef91ebeea480,334,365060.6928057679,WETH-WMATIC,-2981.518983025744,0.15634875281340607,56610.627246894204
2574289.0768388417,7.7556,0.07063738763457117,0.30%,3670.81970487927,0x0e44ceb592acfc5d3f09d996302eb4c499ff8c10,1133,2443375.409342937,USDC-WETH,130913.66749590449,0.47531824584193333,1223606.568293088
8230457.473989759,7.7701,0.06320351691781245,0.30%,11113.684181021981,0x167384319b41f7094e62f7506409eb38079abff8,1831,8255314.943730116,WETH-WMATIC,-24857.46974035725,0.4501039468803902,3704561.393673997
801934.6546126672,7.6736,0.06067042845806947,0.30%,1252.9753830110858,0x3e31ab7f37c048fc6574189135d108df80f0ea26,763,981661.668088208,LINK-WETH,-179727.0134755408,0.5208135832531432,417658.461003695
9815275.908705484,7.7715,0.05961581020699991,0.05%,12794.229546909954,0x50eaedb835021e4a108b7290636d62e9765cc6d7,6984,10075903.025567852,WBTC-WETH,-260627.11686236784,2.6070035454759393,25588459.093819767
1588740.8084637579,7.7681,0.049455164876265334,0.05%,1653.6125329505767,0x3a5329ee48a06671ad1bf295b8a233ee9b9b975e,3784,1569980.7183633589,BOB-WETH,18760.090100398986,2.081664327045958,3307225.06590116
174496.81745082734,7.2625,0.04476816149113105,1.00%,139.7781362195444,0xfc469d13542e70f1512569ebf60c1e8fa01b6931,53,156866.4262406422,GNS-WETH,17630.39121018513,0.0801035447302261,13977.813621954445
412106.5147959187,7.6007,0.042407801372920106,1.00%,343.16103037501335,0xfb9caae5a5c0ab91f68542124c05d1efbb97d151,190,388538.8694351809,MVX-WETH,23567.645360737806,0.0832699843497868,34316.103037501336
150190.49492699327,7.7493,0.029845794230817235,0.30%,109.32074945066613,0x6c14fa1b23a245efb97cbad357ca3948052d56df,589,172417.81818822183,FBX-WETH,-22227.323261228565,0.24262687085891865,36440.249816888674
1295545.45480999,7.5438,0.024220782256794138,0.30%,663.1628134837765,0xfe343675878100b344802a6763fd373fdeed07a4,300,1324872.6279178294,WBTC-WETH,-29327.173107839422,0.17062641093799338,221054.2711612589
1154334.6476564622,7.6986,0.018256984483256966,0.30%,440.7606740717647,0xb5a1fd804342cfb679bd8ada75718bc3ec43097e,239,1144466.4184720963,WETH-XSGD,9868.229184365831,0.12727697725167186,146920.2246905882
228983.30038105644,7.1563,0.016978654925361436,1.00%,85.33703113438884,0xbd934a7778771a7e2d9bf80596002a214d8c9304,59,256248.4894612636,USDC-WETH,-27265.189080207172,0.037267796818535454,8533.703113438884
100963.75578093539,7.2528,0.0027215077774100926,0.30%,5.28533965953516,0xce0bbb1e51ee21cde86257593f29cbd9a60ca97a,81,97748.55165314118,GNS-WETH,3215.2041277942044,0.017449627075426105,1761.779886511719
,7.7681,0.0006154139630554223,1.00%,120.12559991357261,0x9ab9f658104467604b5afa9a3e1df62f35f7b208,78,9169320.573597364,HOM-WETH,,0.0013100817988572538,12012.559991357262
,3.2743,0.4063425423970779,1.00%,0.076783277679228,0xbbf578ec19d1068528080809f075c704b3b4ee4c,7,21.037131422041,OM-WETH,,0.3649892950651093,7.678327767922805
411193.6685616679,7.7465,0.1501426499383285,0.30%,1241.8918504995927,0x2aceda63b5e958c45bd27d916ba701bc1dc08f7a,666,389220.9250239178,AAVE-WETH,21972.74353775009,1.0067371698950358,413963.9501665309
126063.62063694609,7.7681,0.1394132994169294,0.30%,413.7891708610263,0xfc99d1c02d27de07dfe0dcd878cde86ee59c5f6b,435,139246.6547498336,CRV-WETH,-13183.034112887515,1.094127892911862,137929.72362034212
18441803.481249936,7.7715,0.1269136502032286,0.05%,50303.30631997954,0x45dda9cb7c25131df268515131f647d726f50608,57920,18597236.06699313,USDC-WETH,-155432.5857431963,5.455356507960065,100606612.63995744
1181942.9772544913,7.7556,0.1147279980994619,0.30%,2745.7503093527166,0x4ccd010148379ea531d6c587cfdd60180196f9b1,891,1124802.08815407,USDT-WETH,57140.88910042122,0.7743606254538484,915250.1031175716
4203211.857849504,7.7708,0.105603591518163,0.05%,10369.34033472233,0x86f1d8390222a3691c28938ec7404a1661e618e0,31844,4608063.869987881,WETH-WMATIC,-404852.01213837694,4.934007937457487,20738680.66944488
,7.3535,0.0925038796109212,1.00%,377.949281174478,0xde4b2e9c32324a7ed9bdd72886e0371648fa83e4,53,202654.24799257048,UBT-WETH,,0.1864995601712399,37794.92811744778
138093.86708136115,7.4972,0.0923840893383476,1.00%,265.40078399149274,0xd64fb39a5681908ad488b487d65f5d8479cb235c,438,139764.42775827434,GLM-WETH,-1670.5606769131846,0.1921886826698291,26540.078399149286
337016.9857416114,7.6965,0.0893294714754222,0.30%,622.3142593139125,0x357faf5843c7fd7fb4e34fbeabdac16eabe8a5bc,1960,330035.76938839006,UNI-WETH,6981.216353221331,0.6155122596610358,207438.0864379703
362079.1738227421,7.7403,0.0730794428418812,1.00%,566.1062724689422,0x9f2b55f290fb1dd0c80d685284dbef91ebeea480,334,365060.6928057679,WETH-WMATIC,-2981.518983025744,0.156348752813406,56610.62724689421
2574289.0768388417,7.7556,0.0706373876345711,0.30%,3670.81970487927,0x0e44ceb592acfc5d3f09d996302eb4c499ff8c10,1133,2443375.409342937,USDC-WETH,130913.66749590448,0.4753182458419333,1223606.568293088
8230457.473989759,7.7701,0.0632035169178124,0.30%,11113.68418102198,0x167384319b41f7094e62f7506409eb38079abff8,1831,8255314.943730116,WETH-WMATIC,-24857.46974035725,0.4501039468803902,3704561.393673997
801934.6546126672,7.6736,0.0606704284580694,0.30%,1252.9753830110858,0x3e31ab7f37c048fc6574189135d108df80f0ea26,763,981661.668088208,LINK-WETH,-179727.0134755408,0.5208135832531432,417658.461003695
9815275.908705484,7.7715,0.0596158102069999,0.05%,12794.229546909954,0x50eaedb835021e4a108b7290636d62e9765cc6d7,6984,10075903.025567852,WBTC-WETH,-260627.11686236784,2.6070035454759397,25588459.093819767
1588740.808463758,7.7681,0.0494551648762653,0.05%,1653.612532950577,0x3a5329ee48a06671ad1bf295b8a233ee9b9b975e,3784,1569980.7183633589,BOB-WETH,18760.090100398986,2.081664327045958,3307225.06590116
174496.81745082734,7.2625,0.044768161491131,1.00%,139.7781362195444,0xfc469d13542e70f1512569ebf60c1e8fa01b6931,53,156866.4262406422,GNS-WETH,17630.39121018513,0.0801035447302261,13977.813621954445
412106.5147959187,7.6007,0.0424078013729201,1.00%,343.1610303750133,0xfb9caae5a5c0ab91f68542124c05d1efbb97d151,190,388538.8694351809,MVX-WETH,23567.645360737806,0.0832699843497868,34316.103037501336
150190.49492699327,7.7493,0.0298457942308172,0.30%,109.32074945066611,0x6c14fa1b23a245efb97cbad357ca3948052d56df,589,172417.81818822183,FBX-WETH,-22227.323261228565,0.2426268708589186,36440.249816888674
1295545.45480999,7.5438,0.0242207822567941,0.30%,663.1628134837765,0xfe343675878100b344802a6763fd373fdeed07a4,300,1324872.6279178294,WBTC-WETH,-29327.173107839422,0.1706264109379933,221054.2711612589
1154334.6476564622,7.6986,0.0182569844832569,0.30%,440.7606740717647,0xb5a1fd804342cfb679bd8ada75718bc3ec43097e,239,1144466.4184720963,WETH-XSGD,9868.229184365831,0.1272769772516718,146920.2246905882
228983.30038105644,7.1563,0.0169786549253614,1.00%,85.33703113438884,0xbd934a7778771a7e2d9bf80596002a214d8c9304,59,256248.4894612636,USDC-WETH,-27265.18908020717,0.0372677968185354,8533.703113438884
