pair,pool,volume,vol_rank,Volume Share,tvl,tvl_rank,TVL Share,Fee Earned,fee_rank,Fee Share,Fee/TVL,apy,0.05_fee_total,0.3_fee_total,0.01_fee_total,1_fee_total
USDC-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640"" target=""_blank"">🔗🦄 0x88e6...5640</a>",375608727277.80347,🥇 1.,0.4424838113218815,194589015.5026495,🥈 2.,0.1497598715949655,187804363.6389017,🥈 2.,0.1415643420164572,96.51334282861646,0.4684490709101729,187804363.6389017,,,
USDC-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8"" target=""_blank"">🔗🦄 0x8ad5...e6d8</a>",70483816887.54385,🥈 2.,0.0830330758258636,98543999.2133191,5.,0.0758415711725522,211451450.6626316,🥇 1.,0.1593891904398769,214.575674166522,1.041490971685911,,211451450.6626316,,
WETH-USDT 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x11b815efb8f581194ae79006d24e0d814b7697f6"" target=""_blank"">🔗🦄 0x11b8...97f6</a>",62550648504.19198,🥉 3.,0.0736874501063432,25755750.4710338,9.,0.0198221768757624,31275324.25209599,7.,0.0235749085554379,121.4304521519176,0.5893898275990681,31275324.25209599,,,
WBTC-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x4585fe77225b41b697c938b018e2ac67ac5a20c0"" target=""_blank"">🔗🦄 0x4585...20c0</a>",49239475456.11441,4.,0.0580062953414748,106340971.075857,4.,0.0818422876156,24619737.72805721,8.,0.0185580191245792,23.151695418029448,0.1123719258986801,24619737.72805721,,,
WETH-USDT 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x4e68ccd3e89f51c3074ca5072bbac773960dfa36"" target=""_blank"">🔗🦄 0x4e68...fa36</a>",30160725146.11892,5.,0.0355306776591904,31255010.8608582,8.,0.0240545253858774,90482175.43835674,🥉 3.,0.0682042173140185,289.4965413423385,1.405136138164276,,90482175.43835674,,
DAI-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x60594a405d53811d3bc4766596efd80fd545a270"" target=""_blank"">🔗🦄 0x6059...a270</a>",26092258212.57807,6.,0.0307378423913913,3179323.25241861,32.,0.0024468752298847,13046129.106289037,16.,0.0098339923897859,410.34295887857394,1.9916912232803123,13046129.106289037,,,
WBTC-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xcbcdf9626bc03e24f779434178a73a0b4bad62ed"" target=""_blank"">🔗🦄 0xcbcd...62ed</a>",21883628429.197704,7.,0.0257798890432637,242927315.528077,🥇 1.,0.1869620619972721,65650885.28759311,4.,0.0494867328876639,27.02490872419217,0.1311714319724752,,65650885.28759311,,
DAI-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x5777d92f208679db4b9778590fa3cab3ac9e2168"" target=""_blank"">🔗🦄 0x5777...2168</a>",16157694138.758017,8.,0.0190344834011352,142349387.468374,🥉 3.,0.1095551356473943,1615769.4138758015,94.,0.0012179447244657,1.1350729656176286,0.0055093302187557,,,1615769.4138758015,1615769.4138758015
WBTC-USDC 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x99ac8ca7087fa4a2a1fb6357269965a2014abc35"" target=""_blank"">🔗🦄 0x99ac...bc35</a>",12580276636.668297,9.,0.014820126236203,40061810.64104927,7.,0.0308324270101652,37740829.91000488,5.,0.0284485176480647,94.20650067007657,0.457252297135345,,37740829.91000488,,
DAI-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8"" target=""_blank"">🔗🦄 0xc2e9...25f8</a>",12516253064.947098,10.,0.0147447036169392,6721991.68076243,23.,0.0051733886847261,37548759.194841295,6.,0.0283037373890445,558.5957403413863,2.711269218412314,,37548759.194841295,,
