daily_volume,time,total_volume,Pool-Name,running_total_by_pool
85682.69770350383,2021-05-05T00:00:00+00:00,85682.69770350383,DAI / ETH 0.05% fee,85682.69770350383
1431466.6986892684,2021-05-06T00:00:00+00:00,1517149.3963927724,DAI / ETH 0.05% fee,1517149.3963927722
8459798.748977846,2021-05-07T00:00:00+00:00,9976948.145370618,DAI / ETH 0.05% fee,9976948.145370618
6341873.939812658,2021-05-08T00:00:00+00:00,16318822.085183276,DAI / ETH 0.05% fee,16318822.085183276
270720.1290687736,2021-05-09T00:00:00+00:00,16589542.21425205,DAI / ETH 0.05% fee,16589542.21425205
316250.3742327138,2021-05-10T00:00:00+00:00,16905792.588484764,DAI / ETH 0.05% fee,16905792.588484764
216626.3666599908,2021-05-11T00:00:00+00:00,17122418.955144756,DAI / ETH 0.05% fee,17122418.955144756
316630.9793842821,2021-05-12T00:00:00+00:00,17439049.934529036,DAI / ETH 0.05% fee,17439049.934529036
735255.0894445326,2021-05-13T00:00:00+00:00,18174305.02397357,DAI / ETH 0.05% fee,18174305.02397357
132819.95603969376,2021-05-14T00:00:00+00:00,18307124.980013262,DAI / ETH 0.05% fee,18307124.980013262
87823.57792452472,2021-05-15T00:00:00+00:00,18394948.557937782,DAI / ETH 0.05% fee,18394948.557937786
267465.58149360435,2021-05-16T00:00:00+00:00,18662414.13943139,DAI / ETH 0.05% fee,18662414.13943139
266496.7320557635,2021-05-17T00:00:00+00:00,18928910.87148716,DAI / ETH 0.05% fee,18928910.871487156
302272.67955195706,2021-05-18T00:00:00+00:00,19231183.55103911,DAI / ETH 0.05% fee,19231183.55103911
1478.710532701436,2021-05-19T00:00:00+00:00,19232662.261571813,DAI / ETH 0.05% fee,19232662.261571813
314.0261910518837,2021-05-20T00:00:00+00:00,19232976.287762865,DAI / ETH 0.05% fee,19232976.287762865
390.28432841668615,2021-05-21T00:00:00+00:00,19233366.57209128,DAI / ETH 0.05% fee,19233366.57209128
213.5962026668521,2021-05-22T00:00:00+00:00,19233580.16829395,DAI / ETH 0.05% fee,19233580.16829395
82108.91181028602,2021-05-23T00:00:00+00:00,19315689.08010424,DAI / ETH 0.05% fee,19315689.080104236
984122.2358451746,2021-05-24T00:00:00+00:00,20299811.31594941,DAI / ETH 0.05% fee,20299811.31594941
1039256.4062775548,2021-05-25T00:00:00+00:00,21339067.722226966,DAI / ETH 0.05% fee,21339067.722226966
1127929.4875203425,2021-05-26T00:00:00+00:00,22466997.209747307,DAI / ETH 0.05% fee,22466997.209747307
40181966.38729721,2021-05-27T00:00:00+00:00,62648963.59704452,DAI / ETH 0.05% fee,62648963.59704452
2612556.785126551,2021-05-28T00:00:00+00:00,65261520.38217107,DAI / ETH 0.05% fee,65261520.38217107
3383687.0642985464,2021-05-29T00:00:00+00:00,68645207.44646962,DAI / ETH 0.05% fee,68645207.44646962
7878104.826153778,2021-05-30T00:00:00+00:00,76523312.2726234,DAI / ETH 0.05% fee,76523312.27262339
9189264.888624407,2021-05-31T00:00:00+00:00,85712577.1612478,DAI / ETH 0.05% fee,85712577.1612478
4634476.805183528,2021-06-01T00:00:00+00:00,90347053.96643132,DAI / ETH 0.05% fee,90347053.96643133
7128019.024049135,2021-06-02T00:00:00+00:00,97475072.99048048,DAI / ETH 0.05% fee,97475072.99048047
18656952.05952201,2021-06-03T00:00:00+00:00,116132025.05000249,DAI / ETH 0.05% fee,116132025.05000249
5528765.018266261,2021-06-04T00:00:00+00:00,121660790.06826876,DAI / ETH 0.05% fee,121660790.06826875
4045362.7644659127,2021-06-05T00:00:00+00:00,125706152.83273466,DAI / ETH 0.05% fee,125706152.83273464
1899336.4445240528,2021-06-06T00:00:00+00:00,127605489.27725872,DAI / ETH 0.05% fee,127605489.27725871
6930442.3540031705,2021-06-07T00:00:00+00:00,134535931.6312619,DAI / ETH 0.05% fee,134535931.6312619
6099678.7082123365,2021-06-08T00:00:00+00:00,140635610.33947423,DAI / ETH 0.05% fee,140635610.3394742
2963996.9674315834,2021-06-09T00:00:00+00:00,143599607.3069058,DAI / ETH 0.05% fee,143599607.3069058
2512824.4970639283,2021-06-10T00:00:00+00:00,146112431.80396974,DAI / ETH 0.05% fee,146112431.8039697
7074660.537050658,2021-06-11T00:00:00+00:00,153187092.34102038,DAI / ETH 0.05% fee,153187092.34102038
11749997.820633952,2021-06-12T00:00:00+00:00,164937090.16165435,DAI / ETH 0.05% fee,164937090.16165432
18399364.30189503,2021-06-13T00:00:00+00:00,183336454.46354935,DAI / ETH 0.05% fee,183336454.46354938
24106067.558668807,2021-06-14T00:00:00+00:00,207442522.02221817,DAI / ETH 0.05% fee,207442522.02221817
21392480.20511986,2021-06-15T00:00:00+00:00,228835002.22733805,DAI / ETH 0.05% fee,228835002.22733802
26408398.65823809,2021-06-16T00:00:00+00:00,255243400.88557613,DAI / ETH 0.05% fee,255243400.88557613
35605150.24525798,2021-06-17T00:00:00+00:00,290848551.1308341,DAI / ETH 0.05% fee,290848551.1308341
48402310.284521244,2021-06-18T00:00:00+00:00,339250861.4153553,DAI / ETH 0.05% fee,339250861.4153553
21432381.368182447,2021-06-19T00:00:00+00:00,360683242.7835378,DAI / ETH 0.05% fee,360683242.7835378
26921731.239129294,2021-06-20T00:00:00+00:00,387604974.0226671,DAI / ETH 0.05% fee,387604974.0226671
93444504.0495928,2021-06-21T00:00:00+00:00,481049478.0722599,DAI / ETH 0.05% fee,481049478.0722599
43802503.07269427,2021-06-22T00:00:00+00:00,524851981.1449541,DAI / ETH 0.05% fee,524851981.14495414
41969344.55764269,2021-06-23T00:00:00+00:00,566821325.7025969,DAI / ETH 0.05% fee,566821325.7025968
23210743.810510065,2021-06-24T00:00:00+00:00,590032069.513107,DAI / ETH 0.05% fee,590032069.513107
37892773.26994019,2021-06-25T00:00:00+00:00,627924842.7830471,DAI / ETH 0.05% fee,627924842.7830471
92381487.08816028,2021-06-26T00:00:00+00:00,720306329.8712074,DAI / ETH 0.05% fee,720306329.8712074
46846990.47976684,2021-06-27T00:00:00+00:00,767153320.3509742,DAI / ETH 0.05% fee,767153320.3509742
95239846.82814343,2021-06-28T00:00:00+00:00,862393167.1791177,DAI / ETH 0.05% fee,862393167.1791177
91573089.42406848,2021-06-29T00:00:00+00:00,953966256.603186,DAI / ETH 0.05% fee,953966256.6031861
109373416.25916356,2021-06-30T00:00:00+00:00,1063339672.8623496,DAI / ETH 0.05% fee,1063339672.8623497
100643947.7599979,2021-07-01T00:00:00+00:00,1163983620.6223476,DAI / ETH 0.05% fee,1163983620.6223476
48238253.18213169,2021-07-02T00:00:00+00:00,1212221873.8044794,DAI / ETH 0.05% fee,1212221873.8044794
35328550.62034588,2021-07-03T00:00:00+00:00,1247550424.4248252,DAI / ETH 0.05% fee,1247550424.4248252
40877575.510480106,2021-07-04T00:00:00+00:00,1288427999.9353054,DAI / ETH 0.05% fee,1288427999.9353054
68116708.33460547,2021-07-05T00:00:00+00:00,1356544708.2699108,DAI / ETH 0.05% fee,1356544708.2699108
55005391.8193176,2021-07-06T00:00:00+00:00,1411550100.0892284,DAI / ETH 0.05% fee,1411550100.0892284
45633460.83799275,2021-07-07T00:00:00+00:00,1457183560.927221,DAI / ETH 0.05% fee,1457183560.927221
58363562.4542042,2021-07-08T00:00:00+00:00,1515547123.3814254,DAI / ETH 0.05% fee,1515547123.3814254
67713785.14187106,2021-07-09T00:00:00+00:00,1583260908.5232964,DAI / ETH 0.05% fee,1583260908.5232964
62511496.20654383,2021-07-10T00:00:00+00:00,1645772404.7298405,DAI / ETH 0.05% fee,1645772404.7298403
32401140.971574515,2021-07-11T00:00:00+00:00,1678173545.7014146,DAI / ETH 0.05% fee,1678173545.7014148
46363610.05958845,2021-07-12T00:00:00+00:00,1724537155.761003,DAI / ETH 0.05% fee,1724537155.7610033
47468368.26560568,2021-07-13T00:00:00+00:00,1772005524.0266087,DAI / ETH 0.05% fee,1772005524.026609
55673532.29031991,2021-07-14T00:00:00+00:00,1827679056.3169289,DAI / ETH 0.05% fee,1827679056.3169289
72668508.98833723,2021-07-15T00:00:00+00:00,1900347565.305266,DAI / ETH 0.05% fee,1900347565.305266
44836715.51560996,2021-07-16T00:00:00+00:00,1945184280.820876,DAI / ETH 0.05% fee,1945184280.820876
27554754.030238558,2021-07-17T00:00:00+00:00,1972739034.8511145,DAI / ETH 0.05% fee,1972739034.8511145
31284743.926920637,2021-07-18T00:00:00+00:00,2004023778.7780352,DAI / ETH 0.05% fee,2004023778.7780352
31654189.282508243,2021-07-19T00:00:00+00:00,2035677968.0605435,DAI / ETH 0.05% fee,2035677968.0605433
20626030.26718333,2021-07-20T00:00:00+00:00,2056303998.3277264,DAI / ETH 0.05% fee,2056303998.3277266
