day,tvl,Pool-Name
2023-05-26T00:00:00+00:00,3179323.25241861,DAI / ETH 0.05% fee
2023-05-25T00:00:00+00:00,-999986.69940917,DAI / ETH 0.05% fee
2023-05-24T00:00:00+00:00,-1759335.57182745,DAI / ETH 0.05% fee
2023-05-23T00:00:00+00:00,-1718733.14905691,DAI / ETH 0.05% fee
2023-05-22T00:00:00+00:00,-1544720.18435375,DAI / ETH 0.05% fee
2023-05-21T00:00:00+00:00,-1954035.98083872,DAI / ETH 0.05% fee
2023-05-20T00:00:00+00:00,-1649127.4818027,DAI / ETH 0.05% fee
2023-05-19T00:00:00+00:00,-1543026.19785675,DAI / ETH 0.05% fee
2023-05-18T00:00:00+00:00,-2068705.45284207,DAI / ETH 0.05% fee
2023-05-17T00:00:00+00:00,-2168528.91194623,DAI / ETH 0.05% fee
2023-05-16T00:00:00+00:00,-2074612.16012417,DAI / ETH 0.05% fee
2023-05-13T00:00:00+00:00,-2506968.25451774,DAI / ETH 0.05% fee
2023-05-12T00:00:00+00:00,-2247191.67323322,DAI / ETH 0.05% fee
2023-05-11T00:00:00+00:00,-3222433.5792406,DAI / ETH 0.05% fee
2023-05-10T00:00:00+00:00,-3080438.61294946,DAI / ETH 0.05% fee
2023-05-09T00:00:00+00:00,-2765683.76375167,DAI / ETH 0.05% fee
2023-05-08T00:00:00+00:00,-3005420.74660339,DAI / ETH 0.05% fee
2023-05-07T00:00:00+00:00,-2861027.57886546,DAI / ETH 0.05% fee
2023-05-06T00:00:00+00:00,-2728726.67873372,DAI / ETH 0.05% fee
2023-05-05T00:00:00+00:00,-2378436.62529583,DAI / ETH 0.05% fee
2023-05-04T00:00:00+00:00,-2784309.91856778,DAI / ETH 0.05% fee
2023-05-03T00:00:00+00:00,-2209736.26581708,DAI / ETH 0.05% fee
2023-05-02T00:00:00+00:00,-2184093.42142354,DAI / ETH 0.05% fee
2023-05-01T00:00:00+00:00,-2670457.01013639,DAI / ETH 0.05% fee
2023-04-30T00:00:00+00:00,-3044708.87956939,DAI / ETH 0.05% fee
2023-04-29T00:00:00+00:00,-2709477.59329054,DAI / ETH 0.05% fee
2023-04-28T00:00:00+00:00,-2834376.18776029,DAI / ETH 0.05% fee
2023-04-27T00:00:00+00:00,-2901672.79666221,DAI / ETH 0.05% fee
2023-04-26T00:00:00+00:00,-3148855.95513781,DAI / ETH 0.05% fee
2023-04-25T00:00:00+00:00,-2849756.46001182,DAI / ETH 0.05% fee
2023-04-24T00:00:00+00:00,-3382234.61635578,DAI / ETH 0.05% fee
2023-04-23T00:00:00+00:00,-3258093.17619708,DAI / ETH 0.05% fee
2023-04-22T00:00:00+00:00,-3171073.82604722,DAI / ETH 0.05% fee
2023-04-21T00:00:00+00:00,-3607176.58615085,DAI / ETH 0.05% fee
2023-04-20T00:00:00+00:00,-3148701.77758874,DAI / ETH 0.05% fee
2023-04-19T00:00:00+00:00,-3257484.74960006,DAI / ETH 0.05% fee
2023-04-18T00:00:00+00:00,-3028366.66587541,DAI / ETH 0.05% fee
2023-04-17T00:00:00+00:00,-3254151.83214989,DAI / ETH 0.05% fee
2023-04-16T00:00:00+00:00,-3252156.98088466,DAI / ETH 0.05% fee
2023-04-15T00:00:00+00:00,-3271838.16407846,DAI / ETH 0.05% fee
2023-04-14T00:00:00+00:00,-3349859.89644876,DAI / ETH 0.05% fee
2023-04-13T00:00:00+00:00,-2695372.51396557,DAI / ETH 0.05% fee
2023-04-12T00:00:00+00:00,-2626648.86729148,DAI / ETH 0.05% fee
2023-04-11T00:00:00+00:00,-3036295.01749517,DAI / ETH 0.05% fee
2023-04-10T00:00:00+00:00,-1182202.6707862,DAI / ETH 0.05% fee
2023-04-09T00:00:00+00:00,-1537848.9472885,DAI / ETH 0.05% fee
2023-04-08T00:00:00+00:00,-1867034.73884304,DAI / ETH 0.05% fee
2023-04-07T00:00:00+00:00,-1730024.69025043,DAI / ETH 0.05% fee
2023-04-06T00:00:00+00:00,-1895190.702133,DAI / ETH 0.05% fee
2023-04-05T00:00:00+00:00,-1493920.01221335,DAI / ETH 0.05% fee
2023-04-04T00:00:00+00:00,3044241.258384409,DAI / ETH 0.05% fee
2023-04-03T00:00:00+00:00,2140201.735326942,DAI / ETH 0.05% fee
2023-04-02T00:00:00+00:00,1434806.43269167,DAI / ETH 0.05% fee
2023-04-01T00:00:00+00:00,1306750.6588223,DAI / ETH 0.05% fee
2023-03-31T00:00:00+00:00,1527231.69762613,DAI / ETH 0.05% fee
2023-03-30T00:00:00+00:00,1724749.79705955,DAI / ETH 0.05% fee
2023-03-29T00:00:00+00:00,1445661.29108437,DAI / ETH 0.05% fee
2023-03-28T00:00:00+00:00,1644822.39954935,DAI / ETH 0.05% fee
2023-03-27T00:00:00+00:00,589721.29932121,DAI / ETH 0.05% fee
2023-03-26T00:00:00+00:00,1027968.38359222,DAI / ETH 0.05% fee
2023-03-25T00:00:00+00:00,762649.10615632,DAI / ETH 0.05% fee
2023-03-24T00:00:00+00:00,140396.24227787,DAI / ETH 0.05% fee
2023-03-23T00:00:00+00:00,1442558.11765477,DAI / ETH 0.05% fee
2023-03-22T00:00:00+00:00,114790.28236005,DAI / ETH 0.05% fee
2023-03-21T00:00:00+00:00,895643.48288728,DAI / ETH 0.05% fee
2023-03-20T00:00:00+00:00,92274.18308225,DAI / ETH 0.05% fee
2023-03-19T00:00:00+00:00,235175.01638735,DAI / ETH 0.05% fee
2023-03-18T00:00:00+00:00,-118745.91520849,DAI / ETH 0.05% fee
2023-03-17T00:00:00+00:00,790131.88697168,DAI / ETH 0.05% fee
2023-03-16T00:00:00+00:00,383872.68828572,DAI / ETH 0.05% fee
2023-03-15T00:00:00+00:00,-127802.93208943,DAI / ETH 0.05% fee
2023-03-14T00:00:00+00:00,-283237.4878472,DAI / ETH 0.05% fee
2023-03-13T00:00:00+00:00,4891687.31408391,DAI / ETH 0.05% fee
2023-03-12T00:00:00+00:00,4853402.38899653,DAI / ETH 0.05% fee
2023-03-11T00:00:00+00:00,4488773.1926343,DAI / ETH 0.05% fee
2023-03-10T00:00:00+00:00,5549439.98786146,DAI / ETH 0.05% fee
2023-03-08T00:00:00+00:00,5518020.94654664,DAI / ETH 0.05% fee
2023-03-07T00:00:00+00:00,5569205.97548071,DAI / ETH 0.05% fee
2023-03-06T00:00:00+00:00,5665765.25250309,DAI / ETH 0.05% fee
2023-03-05T00:00:00+00:00,5646499.39839508,DAI / ETH 0.05% fee
2023-03-04T00:00:00+00:00,5652815.48159615,DAI / ETH 0.05% fee
2023-03-03T00:00:00+00:00,5865843.2326517,DAI / ETH 0.05% fee
2023-03-02T00:00:00+00:00,5782181.47607715,DAI / ETH 0.05% fee
2023-03-01T00:00:00+00:00,5862658.79935355,DAI / ETH 0.05% fee
2023-02-28T00:00:00+00:00,5478251.24801384,DAI / ETH 0.05% fee
2023-02-27T00:00:00+00:00,5698466.3356589,DAI / ETH 0.05% fee
2023-02-26T00:00:00+00:00,5838955.81543671,DAI / ETH 0.05% fee
2023-02-25T00:00:00+00:00,5568141.32411606,DAI / ETH 0.05% fee
2023-02-24T00:00:00+00:00,5486017.03116904,DAI / ETH 0.05% fee
2023-02-23T00:00:00+00:00,5760622.3273877,DAI / ETH 0.05% fee
2023-02-22T00:00:00+00:00,6035148.51157959,DAI / ETH 0.05% fee
2023-02-21T00:00:00+00:00,5659706.85857437,DAI / ETH 0.05% fee
2023-02-20T00:00:00+00:00,6132434.45312277,DAI / ETH 0.05% fee
2023-02-19T00:00:00+00:00,5913507.7886363,DAI / ETH 0.05% fee
2023-02-18T00:00:00+00:00,5985837.85829929,DAI / ETH 0.05% fee
2023-02-17T00:00:00+00:00,6171842.36711162,DAI / ETH 0.05% fee
2023-02-16T00:00:00+00:00,5669544.67466349,DAI / ETH 0.05% fee
2023-02-15T00:00:00+00:00,6851595.15437359,DAI / ETH 0.05% fee
2023-02-14T00:00:00+00:00,6297759.0348508,DAI / ETH 0.05% fee
2023-02-13T00:00:00+00:00,6032165.93140396,DAI / ETH 0.05% fee
2023-02-12T00:00:00+00:00,5741627.42400504,DAI / ETH 0.05% fee
2023-02-11T00:00:00+00:00,6008348.43833145,DAI / ETH 0.05% fee
2023-02-10T00:00:00+00:00,5634521.71463292,DAI / ETH 0.05% fee
2023-02-09T00:00:00+00:00,5466596.65409757,DAI / ETH 0.05% fee
2023-02-08T00:00:00+00:00,5787554.44260432,DAI / ETH 0.05% fee
2023-02-07T00:00:00+00:00,5941257.98017738,DAI / ETH 0.05% fee
2023-02-06T00:00:00+00:00,5690219.02819348,DAI / ETH 0.05% fee
2023-02-05T00:00:00+00:00,5710525.09199594,DAI / ETH 0.05% fee
2023-02-04T00:00:00+00:00,5867861.90719019,DAI / ETH 0.05% fee
2023-02-03T00:00:00+00:00,5934814.54547633,DAI / ETH 0.05% fee
2023-02-02T00:00:00+00:00,5474321.71040027,DAI / ETH 0.05% fee
2023-02-01T00:00:00+00:00,6061915.84077056,DAI / ETH 0.05% fee
2023-01-31T00:00:00+00:00,5741672.72928208,DAI / ETH 0.05% fee
2023-01-30T00:00:00+00:00,5275864.6957301,DAI / ETH 0.05% fee
2023-01-29T00:00:00+00:00,6093860.58189428,DAI / ETH 0.05% fee
2023-01-28T00:00:00+00:00,5563284.33091867,DAI / ETH 0.05% fee
2023-01-27T00:00:00+00:00,6133473.99101848,DAI / ETH 0.05% fee
2023-01-26T00:00:00+00:00,5777969.76314702,DAI / ETH 0.05% fee
2023-01-25T00:00:00+00:00,6305176.39314571,DAI / ETH 0.05% fee
2023-01-24T00:00:00+00:00,5181856.39036177,DAI / ETH 0.05% fee
2023-01-23T00:00:00+00:00,5770403.85666482,DAI / ETH 0.05% fee
2023-01-22T00:00:00+00:00,5668218.13727342,DAI / ETH 0.05% fee
2023-01-21T00:00:00+00:00,5676410.89255256,DAI / ETH 0.05% fee
2023-01-20T00:00:00+00:00,6392540.17793494,DAI / ETH 0.05% fee
2023-01-19T00:00:00+00:00,5726209.100805,DAI / ETH 0.05% fee
2023-01-18T00:00:00+00:00,5201214.9150986,DAI / ETH 0.05% fee
